route_id,route_licence_number,sub_agency_id,sub_agency_name
L1304,,31,"České dráhy, a.s."
L1305,,31,"České dráhy, a.s."
L1306,,31,"České dráhy, a.s."
L1307,,31,"České dráhy, a.s."
L1308,,31,"České dráhy, a.s."
L1309,,31,"České dráhy, a.s."
L1310,,31,"České dráhy, a.s."
L1311,,31,"České dráhy, a.s."
L1312,,31,"České dráhy, a.s."
L1318,,31,"České dráhy, a.s."
L1320,,31,"České dráhy, a.s."
L1321,,31,"České dráhy, a.s."
L1322,,31,"České dráhy, a.s."
L1323,,31,"České dráhy, a.s."
L1327,,31,"České dráhy, a.s."
L1328,,31,"České dráhy, a.s."
L1330,,31,"České dráhy, a.s."
L1331,,31,"České dráhy, a.s."
L1332,,31,"České dráhy, a.s."
L1333,,31,"České dráhy, a.s."
L1334,,32,"KŽC Doprava,s.r.o."
L1336,,31,"České dráhy, a.s."
L1340,,31,"České dráhy, a.s."
L1343,,31,"České dráhy, a.s."
L1343,,32,"KŽC Doprava,s.r.o."
L1344,,31,"České dráhy, a.s."
L1345,,31,"České dráhy, a.s."
L1349,,33,"ARRIVA vlaky s.r.o."
L1350,,31,"České dráhy, a.s."
L1354,,31,"České dráhy, a.s."
L1357,,31,"České dráhy, a.s."
L1358,,38,"Die Länderbahn CZ s.r.o."
L1360,,31,"České dráhy, a.s."
L1365,,31,"České dráhy, a.s."
L1366,,31,"České dráhy, a.s."
L1370,,31,"České dráhy, a.s."
L1375,,31,"České dráhy, a.s."
L1376,,31,"České dráhy, a.s."
L1380,,31,"České dráhy, a.s."
L1382,,31,"České dráhy, a.s."
L1388,,31,"České dráhy, a.s."
L1390,,31,"České dráhy, a.s."
L1398,,31,"České dráhy, a.s."
L1399,,31,"České dráhy, a.s."
